id;lat;lon;utm_x_m;utm_y_m;depth_m;elev_m;year;month;day;hour;minute;second;rms_error;ml_mag;mw_mag;remarks
2870;-1.644497203;101.1387269;737944.94;9818105.655;820.17;-820.17;2023;3;30;10;40;14.465369;0.0431707;1.053;0.689;
2871;-1.644098198;101.1344483;737468.75;9818150.298;1146.875;-1146.875;2023;3;30;10;40;28.838612;0.0453918;0.49;0.301;
2872;-1.646915835;101.141537;738257.44;9817837.798;1288.92;-1288.92;2023;3;30;10;40;36.392108;0.0445348;0.439;0.201;
2873;-1.653233693;101.1464904;738808.036;9817138.393;-401.42;401.42;2023;3;30;10;40;42.256517;0.0447813;0.428;0.207;
2874;-1.644098918;101.1337799;737394.345;9818150.298;1274.716;-1274.716;2023;3;30;10;41;9.525988;0.0124205;-0.379;-0.229;
2875;-1.645709772;101.1371239;737766.369;9817971.726;1189.489;-1189.489;2023;3;30;10;41;20.127972;0.0151942;0.088;0.036;
2876;-1.644299218;101.1351839;737550.595;9818127.976;1324.432;-1324.432;2023;3;30;10;41;30.028224;0.0198837;-0.116;-0.046;
2877;-1.646796429;101.1274992;736694.94;9817852.679;138.352;-138.352;2023;3;30;10;42;3.136481;0.00370869;-0.475;-0.499;
2878;-1.643691427;101.1373891;737796.131;9818194.94;948.011;-948.011;2023;3;30;10;42;11.650137;0.0118671;0.098;0.094;
2879;-1.636563099;101.1353762;737572.917;9818983.631;1516.193;-1516.193;2023;3;30;10;45;34.463111;0.00426176;-0.111;-0.053;
2880;-1.644841973;101.1309063;737074.405;9818068.452;1381.25;-1381.25;2023;3;30;10;49;11.318961;0.0213082;-0.33;-0.216;
2881;-1.702013814;101.1369844;737744.048;9811744.048;3412.5;-3412.5;2023;4;1;11;45;1.307571;0.0264704;0.836;0.638;
2882;-1.642878291;101.1428697;738406.25;9818284.226;1175.284;-1175.284;2023;4;4;21;16;12.276108;0.0383175;-0.192;-0.186;
2883;-1.644561663;101.141334;738235.119;9818098.214;1523.295;-1523.295;2023;4;4;21;17;38.864207;0.0184345;-0.531;-0.475;
2884;-1.644614517;101.1546364;739715.774;9818090.774;976.42;-976.42;2023;4;4;21;19;37.681906;0.00780777;-0.313;-0.394;
2885;-1.644831026;101.1410669;738205.357;9818068.452;1267.614;-1267.614;2023;4;4;21;20;7.882326;0.0174676;-0.349;-0.397;
2886;-1.64872955;101.1438786;738517.857;9817636.905;230.682;-230.682;2023;4;4;21;21;24.047245;0.0533362;0.184;0.073;
2887;-1.645629268;101.1493566;739127.976;9817979.167;1239.205;-1239.205;2023;4;4;21;21;37.867749;0.0142574;-0.449;-0.512;
2888;-1.655601231;101.1343938;737461.31;9816877.976;-1743.75;1743.75;2023;4;4;21;21;52.720324;0.0351742;-0.374;-0.815;
